Index,Type,Price,Area,Location
1,T2,185000,104.70,Aveiro
2,T2,149000,86,Porto
3,T2,219000,90,Aveiro
4,T4,995000,168.17,Porto
5,T2,610000,198.39,Porto
6,T1,125000,44.34,Porto
7,T3,235000,95,Porto
8,T3,207000,84,Setúbal
9,T3,295000,154,Lisboa
10,T3,595000,147.50,Aveiro
11,T2,380000,77.45,Aveiro
12,T2,395000,88.97,Aveiro
13,T1,199000,87.28,Faro
14,T2,535000,97.82,Porto
15,T4,350000,151,Porto
16,T3,239000,108,Porto
17,T2,134900,55,Setúbal
18,T2,199000,63.08,Porto
19,T1,158500,41.37,Porto
20,T1,205000,63.52,Porto
21,T3,325000,102.68,Porto
22,T2,374000,91.20,Porto
23,T1,220000,55,Faro
24,T3,320000,137.50,Setúbal
25,T1,135000,67,Porto
27,T2,175000,123,Aveiro
28,T3,265000,123,Aveiro
29,T3,195000,123,Aveiro
30,T2,195000,78,Porto
31,T1,130000,50,Aveiro
32,T3,972400,146,Faro
33,T3,806500,133.31,Faro
34,T3,929500,151.91,Faro
35,T4,1845000,298.10,Faro
36,T3,199000,145.50,Braga
37,T1,449000,66,Lisboa
38,T3,300000,102,Lisboa
39,T1,645000,43.42,Lisboa
40,T2,175000,85,Porto
41,T1,145000,75,Porto
42,T3,178900,112.50,Setúbal
43,T2,185000,85,Coimbra
44,T4,650000,182.90,Lisboa
45,T2,335000,171.50,Lisboa
46,T2,193000,98,Porto
47,T2,370000,131,Lisboa
49,T3,470000,125,Porto
50,T2,297000,112,Porto
51,T3,245000,144,Porto
52,T2,505000,97.82,Porto
53,T1,240000,52,Porto
54,T3,450000,129,Porto
55,T2,180000,71,Porto
56,T1,135000,46,Faro
57,T1,138900,62.40,Porto
58,T3,187500,106,Setúbal
59,T3,249500,92,Coimbra
60,T4,1400000,170,Lisboa
61,T3,350000,124,Coimbra
62,T4,"3534577,20",230.76,Lisboa
63,T3,"2620219,80",172.61,Lisboa
64,T2,2242891,141.83,Lisboa
65,T3,765000,137.22,Lisboa
66,T2,580000,100.18,Lisboa
67,T2,290000,85.42,Porto
68,T2,185900,86.95,Porto
69,T2,184900,86.95,Porto
70,T2,183900,86.95,Porto
71,T2,192900,88.30,Porto
72,T3,278000,122.50,Braga
73,T3,235000,141,Aveiro
74,T2,191900,88.30,Porto
75,T2,189900,96.20,Porto
76,T3,320000,103,Porto
77,T1,240000,73,Porto
78,T3,180000,84,Faro
79,T2,205000,110,Setúbal
80,T4,392000,170,Porto
82,T3,192500,135,Aveiro
83,T2,169500,90,Leiria
84,T3,315000,125,Coimbra
85,T3,270000,119,Faro
86,T4,350000,98,Lisboa
87,T3,215000,153,Porto
88,T3,150000,136,Santarém
89,T2,195000,75,Lisboa
90,T2,135500,80.80,Porto
91,T3,315000,142,Porto
92,T2,285000,188,Porto
93,T1,235000,111,Porto
94,T3,290900,100,Porto
95,T3,338000,117,Aveiro
96,T1,170000,42.50,Aveiro
97,T2,224000,68.50,Aveiro
98,T2,195000,93.04,Aveiro
99,T1,147000,47.94,Aveiro
100,T1,150000,47.94,Aveiro
101,T3,650000,130.60,Aveiro
102,T0,329000,85.75,Aveiro
103,T3,445000,119,Aveiro
104,T2,390000,98.50,Aveiro
105,T2,149000,89,Porto
106,T1,257500,45.82,Aveiro
107,T3,325000,145,Setúbal
108,T2,225000,80.40,Braga
109,T3,625000,140,Lisboa
110,T2,430000,92.97,Faro
111,T2,830000,160,Lisboa
113,T3,190000,95.70,Faro
114,T3,187500,90,Coimbra
115,T3,102500,140,Coimbra
116,T2,307900,96,Porto
117,T2,310900,96,Porto
118,T2,308900,96,Porto
119,T2,219900,85,Porto
120,T2,169900,83.50,Porto
121,T2,183900,86.95,Porto
122,T3,299000,113.26,Faro
123,T3,1695000,205,Lisboa
124,T4,300000,115,Setúbal
125,T1,179000,70,Porto
127,T3,290000,118,Porto
128,T2,178000,90,Porto
129,T3,126000,100,Apartamento para comprar: Castelo Branco
131,T2,418000,91.20,Porto
132,T2,892500,113,Lisboa
133,T2,300000,75,Faro
134,T2,365000,99.22,Faro
135,T1,260000,61,Faro
136,T4,1415000,218,Faro
137,T2,325000,105.64,Viana do Castelo
138,T2,362500,99.22,Faro
139,T3,792000,157.30,Porto
140,T3,1470000,179,Lisboa
141,T2,315000,100,Faro
142,T1,671000,63.70,Lisboa
143,T2,162500,80,Porto
144,T3,660000,125,Aveiro
145,T2,335000,104,Aveiro
146,T2,310000,95,Aveiro
147,T2,310000,96,Aveiro
148,T2,315000,99,Aveiro
149,T3,780000,125,Aveiro
150,T2,280000,83,Aveiro
151,T1,240000,61,Aveiro
152,T1,220000,61,Aveiro
153,T3,478000,164,Aveiro
154,T2,355000,99,Aveiro
155,T2,310000,89,Aveiro
156,T1,220000,56,Aveiro
157,T1,195000,56,Aveiro
158,T1,240000,67,Aveiro
159,T2,290000,83,Aveiro
160,T3,525000,180,Aveiro
161,T2,300000,89,Aveiro
162,T3,445000,154,Aveiro
163,T2,388600,134,Aveiro
164,T2,150000,94.50,Coimbra
165,T2,649000,118,Lisboa
166,T2,232500,99.85,Porto
167,T4,215000,202,Castelo Branco
168,T0,260000,42.75,Porto
169,T2,345000,104,Porto
170,T3,860000,155,Lisboa
171,T3,1050000,145,Lisboa
172,T3,1370000,192,Lisboa
173,T3,380000,120,Setúbal
174,T1,188500,41,Porto
175,T3,600000,125,Lisboa
177,T2,800000,77,Lisboa
178,T2,3800000,195,Lisboa
179,T2,1200000,109,Lisboa
180,T3,369000,87,Lisboa
181,T4,520000,120,Lisboa
182,T1,675000,67,Lisboa
183,T4,615000,120,Lisboa
184,T3,650000,164,Lisboa
185,T3,1160000,175,Lisboa
186,T3,850000,140,Lisboa
187,T1,179000,43,Faro
188,T2,595000,100.10,Porto
189,T3,410000,115,Aveiro
190,T2,219900,85,Porto
191,T2,155900,120,Braga
192,T2,185900,86.95,Porto
193,T3,250000,110.34,Santarém
195,T2,187900,88.10,Porto
196,T2,174900,65,Setúbal
197,T3,346000,135.60,Aveiro
198,T3,346000,135.60,Aveiro
199,T4,260000,118,Aveiro
200,T1,155990,59,Aveiro
201,T1,153990,59,Aveiro
202,T4,220000,128,Braga
203,T1,264900,75,Faro
204,T3,239000,109,Setúbal
205,T1,265000,66.13,Faro
206,T3,395000,126.48,Faro
207,T4,390000,156,Faro
208,T1,255000,66.56,Faro
209,T3,347500,128.90,Porto
210,T2,225000,86,Porto
211,T3,385000,127.35,Faro
212,T3,395000,121,Faro
213,T3,340000,106,Faro
214,T2,215000,93,Santarém
215,T3,167500,100,Santarém
216,T4,895000,164,Lisboa
217,T3,219500,120,Porto
218,T1,138000,55,Setúbal
219,T1,270000,39,Lisboa
220,T2,790000,80.45,Lisboa
221,T2,224990,83,Aveiro
222,T2,223990,83,Aveiro
223,T3,339990,149,Aveiro
224,T1,176990,59,Aveiro
225,T2,205000,104,Porto
226,T3,365000,158.30,Porto
227,T4,385000,159.20,Porto
229,T3,750000,113,Lisboa
230,T2,336500,124,Faro
231,T5,875000,225,Porto
232,T2,136000,63,Braga
233,T2,350000,120,Coimbra
234,T3,420000,124,Faro
235,T3,150000,107,Coimbra
236,T2,197500,67,Coimbra
237,T2,280000,77.40,Faro
238,T2,260000,65.99,Faro
239,T0,194900,56,Porto
240,T2,320000,111.90,Faro
241,T2,299000,97,Lisboa
242,T2,280000,77.50,Faro
243,T2,434600,100.28,Faro
244,T3,435000,118,Lisboa
245,T3,187500,148,Braga
246,T5,325000,141.60,Lisboa
247,T2,385000,96,Porto
248,T2,261000,91.90,Faro
249,T2,345000,64,Lisboa
250,T2,235000,97,Porto
251,T0,140000,25,Porto
253,T4,910000,157,Porto
254,T2,198000,90,Braga
255,T3,274000,175,Leiria
256,T1,209000,62,Porto
257,T2,260000,75,Lisboa
258,T2,189000,107,Braga
259,T3,380000,140,Porto
260,T3,465000,116,Lisboa
261,T5,240000,137,Coimbra
262,T1,230000,52.70,Porto
263,T2,325000,83,Porto
264,T2,370000,90,Porto
265,T2,140000,82,Coimbra
266,T2,375000,106,Porto
267,T1,235010,47.53,Porto
268,T2,320010,87.60,Porto
269,T2,245000,105,Lisboa
270,T3,175000,113,Coimbra
272,T2,285000,76.76,Porto
273,T3,199600,105,Porto
274,T1,225010,60,Porto
275,T3,87000,81.19,Leiria
276,T2,290000,90.56,Faro
277,T2,340000,114,Lisboa
278,T1,233655,48.41,Porto
279,T2,370230,78.30,Porto
280,T3,576030,120.54,Porto
281,T1,230000,60,Porto
282,T2,135000,85.72,Coimbra
283,T2,169500,80,Setúbal
284,T3,269900,117.80,Porto
285,T3,189990,88.43,Setúbal
286,T2,330000,93,Porto
287,T3,1950000,179,Porto
289,T2,155000,72.10,Faro
290,T3,1017000,136,Porto
291,T1,187500,80,Porto
292,T2,185000,89,Aveiro
293,T5,875000,225,Porto
294,T2,188000,94.60,Porto
